term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
wild oregano,wild oregano,treatment_herbal_natural,0.61035824,0.4676848,0.14267343,-1,0.0,noise
tumeric and ginger,tumeric and ginger,treatment_herbal_natural,0.5709207,0.4309466,0.13997412,-1,0.0,noise
Milk thistle,milk thistle,treatment_herbal_natural,0.628463,0.49073046,0.1377325,-1,0.0,noise
Turmeric whole herb,turmeric whole herb,treatment_herbal_natural,0.52744603,0.38984066,0.13760537,-1,0.0,noise
Ginger extract,ginger extract,treatment_herbal_natural,0.6700504,0.5333667,0.1366837,-1,0.0,noise
rosea cream,rosea cream,treatment_herbal_natural,0.6121901,0.47584802,0.13634211,-1,0.0,noise
oregano extract,oregano extract,treatment_herbal_natural,0.6076256,0.47234595,0.13527966,-1,0.0,noise
Turmeric tea,turmeric tea,treatment_herbal_natural,0.5547272,0.4201068,0.1346204,-1,0.0,noise
oregano HE,oregano he,treatment_herbal_natural,0.67235196,0.53803307,0.13431889,-1,0.0,noise
black seed oil,black seed oil,treatment_herbal_natural,0.5852555,0.4520945,0.13316101,-1,0.0,noise
Candida Clear,candida clear,treatment_herbal_natural,0.56400746,0.43252188,0.13148558,-1,0.0,noise
Curcumin,curcumin,treatment_herbal_natural,0.6295454,0.49929667,0.13024873,-1,0.0,noise
Echinacea angustifolia root extract,echinacea angustifolia root extract,treatment_herbal_natural,0.4734738,0.34452006,0.12895373,-1,0.0,noise
ginger gravol,ginger gravol,treatment_herbal_natural,0.581836,0.45532125,0.12651473,-1,0.0,noise
Cinnamon leaf oil,cinnamon leaf oil,treatment_herbal_natural,0.52511775,0.39900482,0.12611294,-1,0.0,noise
elderberry umcka tea,elderberry umcka tea,treatment_herbal_natural,0.4999627,0.37396002,0.12600267,-1,0.0,noise
Tagetes erecta flower extract,tagetes erecta flower extract,treatment_herbal_natural,0.45006233,0.3250124,0.12504995,-1,0.0,noise
Flax seed,flax seed,treatment_herbal_natural,0.5303703,0.4083848,0.121985495,-1,0.0,noise
Ginger tea,ginger tea,treatment_herbal_natural,0.5809552,0.45951524,0.12143996,-1,0.0,noise
Organic black seed oil,organic black seed oil,treatment_herbal_natural,0.5176885,0.39655843,0.12113008,-1,0.0,noise
Essential oils,essential oils,treatment_herbal_natural,0.47314072,0.3534975,0.11964321,-1,0.0,noise
Clove oil,clove oil,treatment_herbal_natural,0.54373384,0.42412734,0.119606495,-1,0.0,noise
matcha green tea,matcha green tea,treatment_herbal_natural,0.50455225,0.38539928,0.11915296,-1,0.0,noise
Liquid Turmeric Extract Tincture ,liquid turmeric extract tincture,treatment_herbal_natural,0.451359,0.33393884,0.11742017,-1,0.0,noise
Peppermint oil,peppermint oil,treatment_herbal_natural,0.63415396,0.5175776,0.11657637,-1,0.0,noise
Capsicum,capsicum,treatment_herbal_natural,0.62063146,0.5045969,0.11603457,-1,0.0,noise
Medicinal Herbs,medicinal herbs,treatment_herbal_natural,0.5552001,0.4400732,0.11512691,-1,0.0,noise
black walnut tincture,black walnut tincture,treatment_herbal_natural,0.46395016,0.34888843,0.11506173,-1,0.0,noise
Flaxseed oil,flaxseed oil,treatment_herbal_natural,0.49252737,0.37759474,0.11493263,-1,0.0,noise
Ultimate flora,ultimate flora,treatment_herbal_natural,0.5200749,0.40555847,0.11451644,-1,0.0,noise
Red Panax Ginseng Extract,red panax ginseng extract,treatment_herbal_natural,0.49461365,0.38028544,0.114328206,-1,0.0,noise
Oregano drops,oregano drops,treatment_herbal_natural,0.51313233,0.39910188,0.11403045,-1,0.0,noise
ground ginger,ground ginger,treatment_herbal_natural,0.5006962,0.38739526,0.11330092,-1,0.0,noise
causticum,causticum,treatment_herbal_natural,0.6144954,0.5017039,0.11279148,-1,0.0,noise
bitter cherry,bitter cherry,treatment_herbal_natural,0.46194005,0.3495428,0.11239725,-1,0.0,noise
Echinacea angustifolia extract,echinacea angustifolia extract,treatment_herbal_natural,0.52635354,0.41396785,0.11238569,-1,0.0,noise
Milk thistle extract,milk thistle extract,treatment_herbal_natural,0.5969009,0.48457906,0.112321824,-1,0.0,noise
Moringa,moringa,treatment_herbal_natural,0.5460076,0.43462962,0.111377954,-1,0.0,noise
Flax oil,flax oil,treatment_herbal_natural,0.5115793,0.4010467,0.11053258,-1,0.0,noise
lemongrass oil ,lemongrass oil,treatment_herbal_natural,0.48427498,0.37462625,0.109648734,-1,0.0,noise
Curcumin Tumeric,curcumin tumeric,treatment_herbal_natural,0.566324,0.46036416,0.10595983,-1,0.0,noise
HERBS,herbs,treatment_herbal_natural,0.65737355,0.5516839,0.105689645,-1,0.0,noise
Rhodalia Rosea,rhodalia rosea,treatment_herbal_natural,0.5145005,0.40881807,0.10568243,-1,0.0,noise
turmeric root,turmeric root,treatment_herbal_natural,0.5020606,0.3965889,0.1054717,-1,0.0,noise
Blackcurrant Oil,blackcurrant oil,treatment_herbal_natural,0.4931411,0.38821572,0.104925394,-1,0.0,noise
Quercetin Phytisome,quercetin phytisome,treatment_herbal_natural,0.51300454,0.4084765,0.10452804,-1,0.0,noise
candida bactin br,candida bactin br,treatment_herbal_natural,0.5414744,0.43815482,0.103319585,-1,0.0,noise
Parsley,parsley,treatment_herbal_natural,0.5506273,0.44773477,0.10289252,-1,0.0,noise
candida bactin ar,candida bactin ar,treatment_herbal_natural,0.50417835,0.40197808,0.10220027,-1,0.0,noise
Oilatum Cream,oilatum cream,treatment_herbal_natural,0.531775,0.4299037,0.10187131,-1,0.0,noise
Nutrasea Fish Oil,nutrasea fish oil,treatment_herbal_natural,0.59063363,0.48884767,0.10178596,-1,0.0,noise
Echinacea purpurea root extract,echinacea purpurea root extract,treatment_herbal_natural,0.451105,0.3494029,0.101702094,-1,0.0,noise
samento bark extract,samento bark extract,treatment_herbal_natural,0.48244476,0.38129967,0.10114509,-1,0.0,noise
red bull,red bull,treatment_herbal_natural,0.50730455,0.40653756,0.10076699,-1,0.0,noise
Green Tea + Macha,green tea + macha,treatment_herbal_natural,0.49629074,0.39553303,0.10075772,-1,0.0,noise
Kombucha tea,kombucha tea,treatment_herbal_natural,0.5050017,0.4043017,0.10070002,-1,0.0,noise
wild orange oil ,wild orange oil,treatment_herbal_natural,0.56538475,0.4647987,0.10058606,-1,0.0,noise
Cranberry,cranberry,treatment_herbal_natural,0.5734226,0.4733539,0.10006872,-1,0.0,noise
cinnamon,cinnamon,treatment_herbal_natural,0.6092982,0.50993335,0.09936488,-1,0.0,noise
chia seeds,chia seeds,treatment_herbal_natural,0.47226176,0.3730616,0.09920016,-1,0.0,noise
peppermint tea,peppermint tea,treatment_herbal_natural,0.5731374,0.47419196,0.09894544,-1,0.0,noise
Papaya,papaya,treatment_herbal_natural,0.5008439,0.40210718,0.0987367,-1,0.0,noise
Tumeric Tea,tumeric tea,treatment_herbal_natural,0.5266464,0.42799547,0.0986509,-1,0.0,noise
Licorice extract,licorice extract,treatment_herbal_natural,0.5380738,0.43945664,0.09861714,-1,0.0,noise
Elderberries,elderberries,treatment_herbal_natural,0.53667927,0.43811285,0.09856641,-1,0.0,noise
Black Elderberry Tincture,black elderberry tincture,treatment_herbal_natural,0.5270058,0.4287415,0.09826428,-1,0.0,noise
Tumeric Herbal Tea,tumeric herbal tea,treatment_herbal_natural,0.5348271,0.43694377,0.09788334,-1,0.0,noise
Turmeric,turmeric,treatment_herbal_natural,0.6596613,0.5622844,0.09737688,-1,0.0,noise
Wheatgrass,wheatgrass,treatment_herbal_natural,0.46892947,0.37245268,0.09647679,-1,0.0,noise
"turmeric, ginger, cayenne supplement","turmeric, ginger, cayenne supplement",treatment_herbal_natural,0.56321126,0.4669231,0.096288174,-1,0.0,noise
Artemisia + Clove,artemisia + clove,treatment_herbal_natural,0.5189053,0.42318028,0.095725,-1,0.0,noise
spearmint tea,spearmint tea,treatment_herbal_natural,0.5214863,0.42711562,0.09437066,-1,0.0,noise
curcumine,curcumine,treatment_herbal_natural,0.6668806,0.5726608,0.094219804,-1,0.0,noise
maqui berry,maqui berry,treatment_herbal_natural,0.4826396,0.38897988,0.09365973,-1,0.0,noise
FloraFemme,florafemme,treatment_herbal_natural,0.56604517,0.47243905,0.093606114,-1,0.0,noise
Citrus pectin,citrus pectin,treatment_herbal_natural,0.4742986,0.38195646,0.09234214,-1,0.0,noise
rhodiola rosea,rhodiola rosea,treatment_herbal_natural,0.53274214,0.44041327,0.092328876,-1,0.0,noise
Crystalized ginger,crystalized ginger,treatment_herbal_natural,0.48417175,0.39205015,0.0921216,-1,0.0,noise
ginger ale,ginger ale,treatment_herbal_natural,0.6078787,0.51764715,0.09023154,-1,0.0,noise
peppermint mints,peppermint mints,treatment_herbal_natural,0.5504936,0.46041098,0.090082616,-1,0.0,noise
ginger chew,ginger chew,treatment_herbal_natural,0.5477812,0.4580701,0.08971113,-1,0.0,noise
turmeric paste,turmeric paste,treatment_herbal_natural,0.50025696,0.41087168,0.08938527,-1,0.0,noise
Licorice root,licorice root,treatment_herbal_natural,0.46299446,0.37361184,0.08938262,-1,0.0,noise
Echinacea purpurea extract,echinacea purpurea extract,treatment_herbal_natural,0.5255935,0.43684822,0.088745296,-1,0.0,noise
neem oil,neem oil,treatment_herbal_natural,0.48975223,0.4021439,0.08760834,-1,0.0,noise
hibiscus tea,hibiscus tea,treatment_herbal_natural,0.5382113,0.4508257,0.087385595,-1,0.0,noise
Red yeast rice,red yeast rice,treatment_herbal_natural,0.46746942,0.38033193,0.08713749,-1,0.0,noise
passionflower tea,passionflower tea,treatment_herbal_natural,0.512408,0.42533958,0.08706844,-1,0.0,noise
Black tea,black tea,treatment_herbal_natural,0.5623504,0.47541103,0.086939365,-1,0.0,noise
Peppermint,peppermint,treatment_herbal_natural,0.6807454,0.5948372,0.085908234,-1,0.0,noise
clarycalm,clarycalm,treatment_herbal_natural,0.55661416,0.47096756,0.0856466,-1,0.0,noise
nutrison soya,nutrison soya,treatment_herbal_natural,0.5287924,0.44424027,0.08455211,-1,0.0,noise
Marula oil,marula oil,treatment_herbal_natural,0.55405897,0.46967494,0.084384024,-1,0.0,noise
peppermint spirits,peppermint spirits,treatment_herbal_natural,0.56535465,0.48099858,0.08435607,-1,0.0,noise
Ginseng Extract,ginseng extract,treatment_herbal_natural,0.5095733,0.42560512,0.08396816,-1,0.0,noise
peppermint oil steam,peppermint oil steam,treatment_herbal_natural,0.46027106,0.3768237,0.08344737,-1,0.0,noise
Ground Cinnamon,ground cinnamon,treatment_herbal_natural,0.4531966,0.36981517,0.083381414,-1,0.0,noise
Artichoke extract,artichoke extract,treatment_herbal_natural,0.4808535,0.39766908,0.08318442,-1,0.0,noise
kukicha tea,kukicha tea,treatment_herbal_natural,0.4889319,0.405764,0.08316788,-1,0.0,noise
Burbur leaf extract,burbur leaf extract,treatment_herbal_natural,0.45913827,0.37637073,0.082767546,-1,0.0,noise
evenin primrose oil,evenin primrose oil,treatment_herbal_natural,0.49043104,0.40822005,0.08221099,-1,0.0,noise
lactibian candi,lactibian candi,treatment_herbal_natural,0.53860426,0.45642614,0.082178116,-1,0.0,noise
wild flower honey,wild flower honey,treatment_herbal_natural,0.45428032,0.3726532,0.08162713,-1,0.0,noise
Flaxseed,flaxseed,treatment_herbal_natural,0.5995973,0.5181477,0.08144957,-1,0.0,noise
Green coffee,green coffee,treatment_herbal_natural,0.49623245,0.4149812,0.08125126,-1,0.0,noise
flower 🌱,flower,treatment_herbal_natural,0.54115164,0.46149728,0.079654366,-1,0.0,noise
Black Spanish Radish,black spanish radish,treatment_herbal_natural,0.45726472,0.37807631,0.07918841,-1,0.0,noise
Bromelain,bromelain,treatment_herbal_natural,0.57403815,0.494888,0.07915014,-1,0.0,noise
Valerian root,valerian root,treatment_herbal_natural,0.46569702,0.3866607,0.079036325,-1,0.0,noise
Hawthorne Tea,hawthorne tea,treatment_herbal_natural,0.47264254,0.39422584,0.078416705,-1,0.0,noise
Turmeric extract 95%,turmeric extract 95,treatment_herbal_natural,0.5333702,0.45513558,0.07823461,-1,0.0,noise
Hawthorn berry,hawthorn berry,treatment_herbal_natural,0.4967487,0.4185807,0.078167975,-1,0.0,noise
Ginger lozenges,ginger lozenges,treatment_herbal_natural,0.6071657,0.5294333,0.077732384,-1,0.0,noise
Valerian root extract,valerian root extract,treatment_herbal_natural,0.4710266,0.39356965,0.07745695,-1,0.0,noise
pine bark,pine bark,treatment_herbal_natural,0.51700634,0.43956566,0.07744068,-1,0.0,noise
Rose Buds,rose buds,treatment_herbal_natural,0.4769977,0.3997581,0.0772396,-1,0.0,noise
cayenne tea,cayenne tea,treatment_herbal_natural,0.52955496,0.45264548,0.07690948,-1,0.0,noise
matcha ginseng,matcha ginseng,treatment_herbal_natural,0.5293785,0.45317224,0.07620624,-1,0.0,noise
mushroom,mushroom,treatment_herbal_natural,0.59082186,0.5147183,0.07610357,-1,0.0,noise
Chinese Herbs,chinese herbs,treatment_herbal_natural,0.53023994,0.45423856,0.076001376,-1,0.0,noise
Aloe,aloe,treatment_herbal_natural,0.56926924,0.493304,0.075965226,-1,0.0,noise
Dandelion Leaf,dandelion leaf,treatment_herbal_natural,0.4979002,0.42252004,0.07538015,-1,0.0,noise
ginseng,ginseng,treatment_herbal_natural,0.5712644,0.49600142,0.075262964,-1,0.0,noise
Chamomile Tea,chamomile tea,treatment_herbal_natural,0.5012707,0.4260289,0.075241804,-1,0.0,noise
Chewable ginger,chewable ginger,treatment_herbal_natural,0.52164185,0.44642013,0.07522172,-1,0.0,noise
candy,candy,treatment_herbal_natural,0.5054874,0.43055904,0.07492834,-1,0.0,noise
Pectin,pectin,treatment_herbal_natural,0.53427696,0.45950332,0.07477364,-1,0.0,noise
Cloves,cloves,treatment_herbal_natural,0.504977,0.4304273,0.074549675,-1,0.0,noise
doterra peppermint ,doterra peppermint,treatment_herbal_natural,0.6392623,0.56517386,0.074088454,-1,0.0,noise
Clarytyne,clarytyne,treatment_herbal_natural,0.54833,0.47424832,0.07408169,-1,0.0,noise
Elderberry,elderberry,treatment_herbal_natural,0.5426843,0.469326,0.07335833,-1,0.0,noise
Korean Ginseng,korean ginseng,treatment_herbal_natural,0.4942146,0.42091954,0.07329506,-1,0.0,noise
Lemon balm,lemon balm,treatment_herbal_natural,0.45699143,0.38387036,0.07312107,-1,0.0,noise
"Ginseng, american","ginseng, american",treatment_herbal_natural,0.49943548,0.4265349,0.07290059,-1,0.0,noise
red wine,red wine,treatment_herbal_natural,0.5552823,0.48262656,0.07265574,-1,0.0,noise
Medicinal Herb,medicinal herb,treatment_herbal_natural,0.60494244,0.5332004,0.07174206,-1,0.0,noise
Black Garlic,black garlic,treatment_herbal_natural,0.55044836,0.47893637,0.071511984,-1,0.0,noise
Arnica montana flower extract,arnica montana flower extract,treatment_herbal_natural,0.49272707,0.42142296,0.07130411,-1,0.0,noise
"garlic, parsley, cayenne pepper","garlic, parsley, cayenne pepper",treatment_herbal_natural,0.5128391,0.44158226,0.07125682,-1,0.0,noise
Guarana & Ginseng,guarana & ginseng,treatment_herbal_natural,0.47804242,0.40688348,0.071158946,-1,0.0,noise
virgin olive oil,virgin olive oil,treatment_herbal_natural,0.47162125,0.40081885,0.07080239,-1,0.0,noise
Elderberry tea ,elderberry tea,treatment_herbal_natural,0.4900744,0.4193264,0.070748,-1,0.0,noise
Lavender/Earl Grey tea,lavender/earl grey tea,treatment_herbal_natural,0.45206922,0.38143936,0.070629865,-1,0.0,noise
humana tea,humana tea,treatment_herbal_natural,0.5002297,0.42986733,0.07036239,-1,0.0,noise
Lavender essential oil,lavender essential oil,treatment_herbal_natural,0.4571437,0.38680357,0.07034013,-1,0.0,noise
biest cream,biest cream,treatment_herbal_natural,0.48890108,0.41863137,0.070269704,-1,0.0,noise
kalium,kalium,treatment_herbal_natural,0.4610031,0.39106143,0.06994167,-1,0.0,noise
Cranberry extract,cranberry extract,treatment_herbal_natural,0.5574031,0.48755795,0.06984514,-1,0.0,noise
kale smoothie,kale smoothie,treatment_herbal_natural,0.46526378,0.39552563,0.06973815,-1,0.0,noise
doterra lavender ,doterra lavender,treatment_herbal_natural,0.5303818,0.46084404,0.06953776,-1,0.0,noise
Tart Cherry Juice,tart cherry juice,treatment_herbal_natural,0.47084895,0.4015814,0.06926754,-1,0.0,noise
stomach herbs ,stomach herbs,treatment_herbal_natural,0.47658885,0.40756792,0.06902093,-1,0.0,noise
kali phisphoricum,kali phisphoricum,treatment_herbal_natural,0.47019592,0.40121418,0.06898174,-1,0.0,noise
Coconut oil,coconut oil,treatment_herbal_natural,0.5883429,0.5196978,0.06864512,-1,0.0,noise
Forever Aloe Berry,forever aloe berry,treatment_herbal_natural,0.5172826,0.44869965,0.06858295,-1,0.0,noise
Origanum Oil,origanum oil,treatment_herbal_natural,0.56860524,0.50005335,0.0685519,-1,0.0,noise
Licorice,licorice,treatment_herbal_natural,0.56517625,0.49675715,0.0684191,-1,0.0,noise
Capsaicin,capsaicin,treatment_herbal_natural,0.625543,0.5574666,0.06807637,-1,0.0,noise
ivy extract,ivy extract,treatment_herbal_natural,0.5400772,0.47213703,0.067940176,-1,0.0,noise
Frankincense,frankincense,treatment_herbal_natural,0.6140851,0.54631627,0.06776881,-1,0.0,noise
Forte Nuit Plantes ,forte nuit plantes,treatment_herbal_natural,0.4631613,0.39547044,0.06769085,-1,0.0,noise
banana smoothie,banana smoothie,treatment_herbal_natural,0.5005977,0.43333882,0.067258894,-1,0.0,noise
yeast buster tea,yeast buster tea,treatment_herbal_natural,0.48559076,0.41891932,0.06667143,-1,0.0,noise
Motherwort,motherwort,treatment_herbal_natural,0.4831584,0.4164908,0.06666762,-1,0.0,noise
Berberine + Grapefruite seed,berberine + grapefruite seed,treatment_herbal_natural,0.5146812,0.44874886,0.06593236,-1,0.0,noise
Milk Thistle (Jarrow Formula),milk thistle (jarrow formula,treatment_herbal_natural,0.48160183,0.41579786,0.065803975,-1,0.0,noise
Black seed oil capsules,black seed oil capsules,treatment_herbal_natural,0.50541335,0.43988004,0.06553331,-1,0.0,noise
Passion Flower,passion flower,treatment_herbal_natural,0.4837858,0.41832632,0.06545949,-1,0.0,noise
Spatone,spatone,treatment_herbal_natural,0.5533378,0.48866585,0.06467196,-1,0.0,noise
Red tea,red tea,treatment_herbal_natural,0.53953415,0.47523925,0.064294904,-1,0.0,noise
CosmoCol,cosmocol,treatment_herbal_natural,0.46632522,0.4022752,0.06405002,-1,0.0,noise
Dandelion tea,dandelion tea,treatment_herbal_natural,0.5312579,0.46731156,0.06394637,-1,0.0,noise
natrum muriaticum,natrum muriaticum,treatment_herbal_natural,0.4558531,0.3920515,0.06380162,-1,0.0,noise
Schisandra,schisandra,treatment_herbal_natural,0.47202614,0.40832132,0.06370482,-1,0.0,noise
Valeriana,valeriana,treatment_herbal_natural,0.56380033,0.50029874,0.0635016,-1,0.0,noise
Wine,wine,treatment_herbal_natural,0.548663,0.48529613,0.06336689,-1,0.0,noise
Fungizone,fungizone,treatment_herbal_natural,0.56627554,0.50302756,0.06324798,-1,0.0,noise
Houttuynia Nutramedix Extract,houttuynia nutramedix extract,treatment_herbal_natural,0.50865823,0.4457912,0.062867016,-1,0.0,noise
Indica,indica,treatment_herbal_natural,0.54610074,0.48372206,0.062378675,-1,0.0,noise
Turmeric supplement,turmeric supplement,treatment_herbal_natural,0.5065012,0.4446622,0.061838984,-1,0.0,noise
Phytaxil,phytaxil,treatment_herbal_natural,0.59803057,0.53683656,0.061194003,-1,0.0,noise
Flower Essences,flower essences,treatment_herbal_natural,0.48163164,0.42053172,0.061099917,-1,0.0,noise
Aromasin,aromasin,treatment_herbal_natural,0.5932429,0.5322193,0.061023593,-1,0.0,noise
Lemon,lemon,treatment_herbal_natural,0.462197,0.40125495,0.060942054,-1,0.0,noise
Ginkgo,ginkgo,treatment_herbal_natural,0.5279165,0.46711415,0.06080234,-1,0.0,noise
Raw honey ,raw honey,treatment_herbal_natural,0.46744186,0.40666208,0.06077978,-1,0.0,noise
Rogaine,rogaine,treatment_herbal_natural,0.54653054,0.48631766,0.06021288,-1,0.0,noise
Dafalgan,dafalgan,treatment_herbal_natural,0.49636254,0.43620068,0.06016186,-1,0.0,noise
Olive oil,olive oil,treatment_herbal_natural,0.5565563,0.4967781,0.059778184,-1,0.0,noise
magneisum,magneisum,treatment_herbal_natural,0.57863533,0.5193901,0.05924523,-1,0.0,noise
Pu-erh tea,pu-erh tea,treatment_herbal_natural,0.5211845,0.46223587,0.058948636,-1,0.0,noise
elderberry extract,elderberry extract,treatment_herbal_natural,0.57605505,0.517995,0.05806005,-1,0.0,noise
lacalose ,lacalose,treatment_herbal_natural,0.5850309,0.52703094,0.05799997,-1,0.0,noise
Berberine,berberine,treatment_herbal_natural,0.60207915,0.5456002,0.056478977,-1,0.0,noise
Floragen 3,floragen 3,treatment_herbal_natural,0.4970717,0.44081807,0.05625364,-1,0.0,noise
Garlic extract,garlic extract,treatment_herbal_natural,0.568604,0.51249653,0.05610746,-1,0.0,noise
Olive leaf extract,olive leaf extract,treatment_herbal_natural,0.5107677,0.4550882,0.0556795,-1,0.0,noise
ginger capsules,ginger capsules,treatment_herbal_natural,0.59302986,0.5376761,0.05535376,-1,0.0,noise
Honey Lavender ,honey lavender,treatment_herbal_natural,0.55321074,0.49812394,0.05508679,-1,0.0,noise
Grapeseed Extract,grapeseed extract,treatment_herbal_natural,0.5248865,0.4700957,0.054790795,-1,0.0,noise
Doctor Wilsons Herbal ,doctor wilsons herbal,treatment_herbal_natural,0.52689236,0.47221226,0.05468011,-1,0.0,noise
Lavender oil,lavender oil,treatment_herbal_natural,0.5719892,0.51787317,0.05411601,-1,0.0,noise
Salicin extract,salicin extract,treatment_herbal_natural,0.54587,0.49193203,0.05393797,-1,0.0,noise
Hawthorn berry extract,hawthorn berry extract,treatment_herbal_natural,0.5195191,0.46586925,0.053649843,-1,0.0,noise
smoothie,smoothie,treatment_herbal_natural,0.54623127,0.49310416,0.05312711,-1,0.0,noise
Reishi mushroom,reishi mushroom,treatment_herbal_natural,0.509105,0.45673501,0.05237001,-1,0.0,noise
Maganesium,maganesium,treatment_herbal_natural,0.5837585,0.53166354,0.052094936,-1,0.0,noise
Mirena,mirena,treatment_herbal_natural,0.49126536,0.43999147,0.051273882,-1,0.0,noise
Sunflower lecithin,sunflower lecithin,treatment_herbal_natural,0.49016574,0.43908995,0.051075786,-1,0.0,noise
Coffee,coffee,treatment_herbal_natural,0.5141783,0.4631154,0.051062882,-1,0.0,noise
Baicalin,baicalin,treatment_herbal_natural,0.5458691,0.49504024,0.050828874,-1,0.0,noise
seaweed,seaweed,treatment_herbal_natural,0.5443076,0.4934819,0.050825685,-1,0.0,noise
Budenofalk,budenofalk,treatment_herbal_natural,0.5219418,0.4711902,0.050751567,-1,0.0,noise
Cream,cream,treatment_herbal_natural,0.58102405,0.53069675,0.0503273,-1,0.0,noise
estrogen,estrogen,treatment_hormone_endocrine,0.70670754,0.39864653,0.308061,-1,0.0,noise
Hormones,hormones,treatment_hormone_endocrine,0.69846284,0.39476585,0.303697,-1,0.0,noise
hormone control,hormone control,treatment_hormone_endocrine,0.6628192,0.3828712,0.279948,-1,0.0,noise
hormonal contraceptive,hormonal contraceptive,treatment_hormone_endocrine,0.5572687,0.30749133,0.24977735,-1,0.0,noise
Thyroid,thyroid,treatment_hormone_endocrine,0.6349964,0.3861447,0.24885172,-1,0.0,noise
Testosterone,testosterone,treatment_hormone_endocrine,0.6586411,0.43459547,0.22404563,-1,0.0,noise
Wp thyroid,wp thyroid,treatment_hormone_endocrine,0.5718212,0.3525085,0.21931273,-1,0.0,noise
Estrogen Phenolic,estrogen phenolic,treatment_hormone_endocrine,0.5286597,0.31853354,0.21012616,-1,0.0,noise
Armour thyroid,armour thyroid,treatment_hormone_endocrine,0.6036796,0.39758646,0.20609313,-1,0.0,noise
Thyroid (usp),thyroid (usp,treatment_hormone_endocrine,0.5855175,0.38082662,0.2046909,-1,0.0,noise
birth control,birth control,treatment_hormone_endocrine,0.5910092,0.39410672,0.19690248,-1,0.0,noise
happy hormones,happy hormones,treatment_hormone_endocrine,0.5689448,0.3748122,0.19413263,-1,0.0,noise
Oestrogen,oestrogen,treatment_hormone_endocrine,0.6384751,0.4514926,0.18698251,-1,0.0,noise
Estradiol,estradiol,treatment_hormone_endocrine,0.6514832,0.466155,0.18532819,-1,0.0,noise
NP thyroid,np thyroid,treatment_hormone_endocrine,0.57735777,0.39651847,0.1808393,-1,0.0,noise
Thyroid NP,thyroid np,treatment_hormone_endocrine,0.5471942,0.3683136,0.17888057,-1,0.0,noise
Hormone -Am,hormone -am,treatment_hormone_endocrine,0.67154306,0.49284548,0.17869759,-1,0.0,noise
Thyronorm,thyronorm,treatment_hormone_endocrine,0.54199815,0.36365914,0.178339,-1,0.0,noise
Thyroid Armour,thyroid armour,treatment_hormone_endocrine,0.5900362,0.4120354,0.17800081,-1,0.0,noise
Progesterone,progesterone,treatment_hormone_endocrine,0.66910475,0.49266946,0.17643529,-1,0.0,noise
hormone cream,hormone cream,treatment_hormone_endocrine,0.69598854,0.5236984,0.17229015,-1,0.0,noise
Thyroid-Pro,thyroid-pro,treatment_hormone_endocrine,0.69565386,0.5283653,0.16728854,-1,0.0,noise
Amour thyroid ,amour thyroid,treatment_hormone_endocrine,0.6302226,0.46786764,0.16235498,-1,0.0,noise
Menopace,menopace,treatment_hormone_endocrine,0.5410305,0.3787954,0.16223514,-1,0.0,noise
Thyroid 130,thyroid 130,treatment_hormone_endocrine,0.48796904,0.329853,0.15811604,-1,0.0,noise
thyroid support,thyroid support,treatment_hormone_endocrine,0.48147643,0.32457334,0.15690309,-1,0.0,noise
prosol low thyroid,prosol low thyroid,treatment_hormone_endocrine,0.509938,0.35304633,0.15689167,-1,0.0,noise
Thyroid Care,thyroid care,treatment_hormone_endocrine,0.5672003,0.41160756,0.15559274,-1,0.0,noise
hormonal treatment (pills),hormonal treatment (pills,treatment_hormone_endocrine,0.59174144,0.4372669,0.15447456,-1,0.0,noise
Topical Estrogen,topical estrogen,treatment_hormone_endocrine,0.55026895,0.3967774,0.15349156,-1,0.0,noise
Human Growth Hormone,human growth hormone,treatment_hormone_endocrine,0.4787445,0.32891345,0.14983106,-1,0.0,noise
Bioidentical hormone pellet,bioidentical hormone pellet,treatment_hormone_endocrine,0.5002371,0.35768256,0.14255455,-1,0.0,noise
testosterone cream,testosterone cream,treatment_hormone_endocrine,0.64777756,0.50562143,0.14215612,-1,0.0,noise
Contraceptive pill,contraceptive pill,treatment_hormone_endocrine,0.53602594,0.39616555,0.13986039,-1,0.0,noise
Thyrostim,thyrostim,treatment_hormone_endocrine,0.5212819,0.38359776,0.13768414,-1,0.0,noise
herbal hormone support,herbal hormone support,treatment_hormone_endocrine,0.49646324,0.35897982,0.13748342,-1,0.0,noise
Thyroid calm,thyroid calm,treatment_hormone_endocrine,0.5381578,0.4034122,0.13474563,-1,0.0,noise
herbal thyroid support,herbal thyroid support,treatment_hormone_endocrine,0.47452784,0.34008825,0.13443959,-1,0.0,noise
Hormonal balance pill,hormonal balance pill,treatment_hormone_endocrine,0.5086417,0.37924045,0.12940127,-1,0.0,noise
levothyrone T3,levothyrone t3,treatment_hormone_endocrine,0.5787996,0.4509442,0.12785542,-1,0.0,noise
Sexual hormone spray,sexual hormone spray,treatment_hormone_endocrine,0.60045254,0.478433,0.12201953,-1,0.0,noise
thyrotropin,thyrotropin,treatment_hormone_endocrine,0.5860049,0.46599296,0.120011955,-1,0.0,noise
Erfa thyroid,erfa thyroid,treatment_hormone_endocrine,0.46783796,0.35024485,0.11759311,-1,0.0,noise
thyroid supplement ,thyroid supplement,treatment_hormone_endocrine,0.62232935,0.50568736,0.116642,-1,0.0,noise
